This file was generated by Console at 2020:09:25-00:00:01



[2020:09:25-00:05:10]  (Global) -> GTJhojan: admin
[2020:09:25-00:05:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000KevinOcampo: XDDD
[2020:09:25-00:05:12]  (Global) -> [S.A.S][T]tinoasprila: jaja eo
[2020:09:25-00:05:13]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000KevinOcampo: JAJDAJDJAJSDJJASD
[2020:09:25-00:05:13]  (Global) -> GTJhojan: admin
[2020:09:25-00:05:15]  (Global) -> (Z)IceWipe: loli
[2020:09:25-00:05:15]  (Local) -> (LOCAL)[1]_SEMDS_: JAJAJAJAJAJAJAJAJJAAJ
[2020:09:25-00:05:16]  (Local) -> (LOCAL)[3][S.A.S][T]tinoasprila: tud de ,morir
[2020:09:25-00:05:16]  (Local) -> (LOCAL)[1]_SEMDS_: QUE CAJA
[2020:09:25-00:05:18]  (Global) -> (Z)IceWipe: ya llegue
[2020:09:25-00:05:19]  (Global) -> [Z]MrAguacate: QUIETO
[2020:09:25-00:05:19]  (Local) -> (LOCAL)[4]2cb'SingleChamber: ´pq no me cambia el estilo de pelea
[2020:09:25-00:05:20]  (Local) -> (LOCAL)[1]_SEMDS_: COMO SONO ESO
[2020:09:25-00:05:21]  (Global) -> [$BABY$]~La_Loli~: ICE VEN POR MI
[2020:09:25-00:05:22]  (Local) -> (LOCAL)[1]_SEMDS_: JAJAJAJAJAJAJAJAJA
[2020:09:25-00:05:23]  (Local) -> (LOCAL)[1](SEGURIDAD)LOKILLO: ne
[2020:09:25-00:05:23]  (Local) -> (LOCAL)[4]2cb'JuanPablo: veo rolo
[2020:09:25-00:05:24]  (Global) -> GTJhojan: min
[2020:09:25-00:05:25]  (Global) -> PunySnake51: subase 
[2020:09:25-00:05:25]  (Global) -> [Z]MrAguacate: HOY JUEGA BOCA MEDELLIN
[2020:09:25-00:05:26]  (Local) -> (LOCAL)[1](SEGURIDAD)LOKILLO: nea
[2020:09:25-00:05:26]  (Global) -> (Z)IceWipe: donde estas?
[2020:09:25-00:05:27]  (Global) -> (CTA)Jot4: lleveme 
[2020:09:25-00:05:29]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: hable por dc
[2020:09:25-00:05:31]  (Local) -> (LOCAL)[1]-->pan: mk
[2020:09:25-00:05:31]  (Global) -> #7F7F7F|CVR|Zllanerito: camilo
[2020:09:25-00:05:33]  (Global) -> GTJhojan: admin
[2020:09:25-00:05:33]  (Global) -> (CTA)Jot4: me coje la tomba
[2020:09:25-00:05:34]  (Team - Services) -> (TEAM)-->pan: la plta
[2020:09:25-00:05:35]  (Local) -> (LOCAL)[4]2cb'JuanPablo: veo
[2020:09:25-00:05:36]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: como ta en dc
[2020:09:25-00:05:36]  (Global) -> (Z)IceWipe: donde estas loli?
[2020:09:25-00:05:37]  (Global) -> 2cBBUitre: que pasa pan
[2020:09:25-00:05:37]  (Global) -> PunySnake51: y nos vamos de rose
[2020:09:25-00:05:39]  (Global) -> #7F7F7F|CVR|Zllanerito: te quedaste bug en el ammu?
